0,1,2
Juicy M,Temple SF,
0,1,2
Michael Bibi,The Midway,
0,1,2
Boy Harsher,1015 Folsom,
0,1,2
"Tourist,Jacques Greene,Yu Su",Public Works,
0,1,2
Chris Malinchak,Audio,
0,1,2
"Shaded,Lyja,Lisa Rose,Cole Odin",Monarch SF,
0,1,2
Sander Van Doorn,Halcyon SF,
0,1,2
"Atish,Kora",Great Northern,
0,1,2
Croatia Squad,Temple SF,
0,1,2
Geometrae,The Center SF,Temple of Now
0,1,2
ARMNHMR,YOLO Nightclub,
0,1,2
"DJ Shellheart,Nut-N-Nick",Parliament Event Venue,Good VBZ
0,1,2
MUSUBI,Love + Propaganda,FemmeFierce
0,1,2
"Of The Trees,The Librarian,Secret Recipe",Regency Ballroom,
0,1,2
"Chippy Nonstop,Sara Landry,UNIIQU3,Chloé",Public Works,HE.SHE.THEY. at Noise Pop
0,1,2
Paul Oakenfold,The Midway,
0,1,2
Sultan & Ned Shepard,Audio,
0,1,2
Codes,Temple SF,
0,1,2
,F8,Bad Asstronauts Present - ORBIT
0,1,2
Layton Giordani,Halcyon SF,
0,1,2
"Nikki Nair,Farsight",Monarch SF,Garage Access
0,1,2
J. Espinosa,Providence,
0,1,2
Nora En Pure,The Midway,
0,1,2
"Jim Rider,Stebel",Bergerac,
0,1,2
"PLVGUES,Morgue VVitch,Satanic Hispanic,SØLVE,Systematic Doses,Morningstvr,Rotten Wolf,MØRGVE,Decomposition,SAIN't,CULTCHILD,Häxa,Xm0rtal,Wraith Haven,ßęđŧīmĕ Šŧōŗĩėş,Gloomstone,Cryptopurge",Live Stream,HERETICS Virtual Music Festival
0,1,2
"Lee Reynolds,Kevin Knapp",Hotel VIA,
0,1,2
Ray Keith,F8,Stamina Drum and Bass
0,1,2
Kollektiv Turmstrasse,Public Works,
0,1,2
The Magician,Audio,
0,1,2
"William Black,Midnight Kids,TSU NAMI",The Midway,
0,1,2
Nostalgix,Temple SF,
0,1,2
Vini Vici,Public Works,Presented By Dreamstate
0,1,2
"Henrik Schwarz,KETTAMA,Brina Knauss",1015 Folsom,
0,1,2
Roger Sanchez,Halcyon SF,
0,1,2
"Ege,Madhu",The Center SF,Temple of Now
0,1,2
Juliet Fox,The Loft at Public Works,SET
0,1,2
"Jackmaster,Lights Down Low,Nat Turner,DJ M3,Cory Sizemore",Monarch SF,Lights Down Low
0,1,2
,Brix 581,Hardcore Junglists United Presents Subversive
0,1,2
Jerro,Audio,
0,1,2
,Madrone Art Bar,Let's Catch A Vibe Dance Party
0,1,2
"Seth Troxler,Jaden Thompson,Demi Riquísimo",Public Works,Presented by AYLI & PW
0,1,2
Dr. Fresch,The Midway,
0,1,2
Sasha Carassi,Halcyon SF,
0,1,2
Tritonal,Temple SF,
0,1,2
yetep,YOLO Nightclub,
0,1,2
Osunlade,Folsom Street Foundry,The Simmer Room
0,1,2
,The EndUp,Elements of House Afterhours
0,1,2
,Bergerac,Housekeeping Takeover
0,1,2
"Tara Brooks,Luzi Tudor",Great Northern,SET
0,1,2
Facundo Mohrr,Audio,
0,1,2
Autograf,Hotel VIA,Rooftop Party
0,1,2
"Ott,Soohan",Cornerstone,
0,1,2
Salvatore Ganacci,1015 Folsom,
0,1,2
Barry Can't Swim,Monarch SF,
0,1,2
"KILO.wav,djwavybb,Omar (LA),Brendan Luu,KOFI",Halcyon SF,CLUB SQUEEZE
0,1,2
"Wax Tailor,Kuf Knotz,Christine Elise",Regency Ballroom,
0,1,2
Marsh,Great Northern,
0,1,2
"Lost Kings,KC Lights",1015 Folsom,
0,1,2
Paul van Dyk,Public Works,Dreamstate Presents
0,1,2
"Mochakk,DJ Dials",Audio,
0,1,2
Space 92,Halcyon SF,
0,1,2
Gabriel Francisco,The Center SF,Temple of Now
0,1,2
Zomboy,The Midway,
0,1,2
SENZA,YOLO Nightclub,
0,1,2
Henry Fong,Temple SF,
0,1,2
"Eskuche,Doorly",The Hibernia,Bank Hoist
0,1,2
"MUSUBI,Mackswell,L3NA,Prizmatix,RE!GN",Hawthorn Lounge,
0,1,2
"Coco Bryce,Lucy Stoner,Nightware,DJ Staley",Monarch SF,Garage Access Presents
0,1,2
"Moontricks,Equanimous",Monarch SF,
0,1,2
Parov Stelar,Fox Theater Oakland,
0,1,2
"LAYZ,RZRKT,HEXX,Crystal Dab",DNA Lounge,
0,1,2
Steve Aoki,Bill Graham Civic Auditorium,HiROQUEST Genesis Tour
0,1,2
Deorro,The Midway,Insomniac Presents
0,1,2
"Justin Martin,AMPRS&ND,Klipper,Kevin Hill",Audio,
0,1,2
One True God,Temple SF,
0,1,2
